,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
12134,2018S005959    ,Autob̼s,CITYCLASS,IRISBUS,Vermell,D,12
12135,2018S000652    ,Autocar,515 CDI,MERCEDES-BENZ,Blanc,D,9
12136,2018S000652    ,Motocicleta,Sport City,APRILIA,Negre,B,11
12137,2018S008313    ,Motocicleta,SH 100,HONDA,Negre,A1,26
12138,2018S008313    ,Turisme,IBIZA,SEAT,Blanc,B,2
12139,2018S008503    ,Motocicleta,SH 100,HONDA,Gris,B,23
12140,2018S008503    ,Turisme,FOCUS,FORD,Gris,B,14
12141,2018S003085    ,Turisme,PANDA,FIAT,Gris,B,25
12142,2018S003085    ,Turisme,SPORTAGE,KIA,Negre,B,10
12143,2018S001695    ,Turisme,FORFOUR,SMART,Blanc,B,37
12144,2018S006146    ,Motocicleta,125,VESPA,Blanc,B,2
12145,2018S000709    ,Motocicleta,PES,HONDA,Vermell,B,22
12146,2018S002301    ,Furgoneta,BERLINGO,CITROEN,Blanc,B,32
12147,2018S002334    ,Motocicleta,SH125D,HONDA,Negre,Desconegut,Desconegut
12148,2018S001738    ,Motocicleta,PS 125,HONDA,Blanc,B,9
12149,2018S001738    ,Turisme,LEON,SEAT,Blanc,B1,2
12150,2018S000529    ,Motocicleta,SH 125,HONDA,Negre,B,32
12151,2018S000529    ,Turisme,C4 PICASSO,CITROEN,Blau,B,30
12152,2018S003394    ,Motocicleta,UH 200,SUZUKI,Gris,A2,Desconegut
12153,2018S003394    ,Turisme,LEON,SEAT,Blanc,B,9
12154,2018S000233    ,Furgoneta,NV200,NISSAN,Blanc,B,30
12155,2018S000233    ,Motocicleta,VESPA,PIAGGIO,Blanc,B,2
12156,2018S005335    ,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut
12157,2018S005335    ,Turisme,CLK200,MERCEDES,Blau,B,1
12158,2018S009074    ,Motocicleta,EXC 250,KTM,Taronja,B,4
12159,2018S009074    ,Turisme,REXTON,SSANGYONG,Gris,B,30
12160,2018S002011    ,Motocicleta,T MAX,YAMAHA,Blanc,A2,7
12161,2018S002011    ,Taxi,LODGY,DACIA,Negre/Groc,B,30
12162,2018S008426    ,Motocicleta,YP250RA,YAMAHA,Blanc,B,1
12163,2018S007488    ,Motocicleta,SH 125,HONDA,Negre,B,21
12164,2018S007488    ,Turisme,Desconegut,Desconegut,Negre,Desconegut,Desconegut
12165,2018S007488    ,Turisme,POLO,VOLKSWAGEN,Gris,B,37
12166,2018S007198    ,Turisme,A1 SPORTBA,AUDI,Blanc,B,9
12167,2018S007198    ,Turisme,IBIZA,SEAT,Vermell,B,1
12168,2018S005952    ,Autob̼s,NG 313 F,MAN,Vermell,D,16
12169,2018S007117    ,Motocicleta,UH 125,SUZUKI,Negre,B,3
12170,2018S007117    ,Turisme,CR-V,HONDA,Gris,B,27
12171,2018S007117    ,Turisme,POLO,VOLKSWAGEN,Negre,B,7
12172,2018S001698    ,Motocicleta,SH125AD,HONDA,Gris,B,22
12173,2018S001698    ,Turisme,CALIBER,DODGE,Blanc,B,0
12174,2018S001072    ,Motocicleta,NINJA 250S,KAWASAKI,Verd,A2,7
12175,2018S001072    ,Turisme,ZAFIRA,OPEL,Blau,B,14
12176,2018S008067    ,Turisme,FORTWO,SMART,Blanc,B,23
12177,2018S004187    ,Turisme,A4,A.U.D.I.,granate,B,11
12178,2018S004187    ,Turisme,GOLF,VOLKSWAGEN,Blau,B,25
12179,2018S004187    ,Turisme,GOLF,VOLKSWAGEN,Desconegut,B,12
