"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,7,"Horta-Guinardó",43,"Horta","Home","57 anys",134
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","57 anys",169
2015,8,"Nou Barris",45,"Porta","Home","57 anys",134
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","57 anys",88
2015,8,"Nou Barris",47,"Can Peguera","Home","57 anys",10
2015,8,"Nou Barris",48,"la Guineueta","Home","57 anys",66
2015,8,"Nou Barris",49,"Canyelles","Home","57 anys",51
2015,8,"Nou Barris",50,"les Roquetes","Home","57 anys",92
2015,8,"Nou Barris",51,"Verdun","Home","57 anys",65
2015,8,"Nou Barris",52,"la Prosperitat","Home","57 anys",142
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","57 anys",44
2015,8,"Nou Barris",54,"Torre Baró","Home","57 anys",17
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","57 anys",44
2015,8,"Nou Barris",56,"Vallbona","Home","57 anys",5
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","57 anys",52
2015,9,"Sant Andreu",58,"Baró de Viver","Home","57 anys",14
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","57 anys",66
2015,9,"Sant Andreu",60,"Sant Andreu","Home","57 anys",374
2015,9,"Sant Andreu",61,"la Sagrera","Home","57 anys",174
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","57 anys",83
2015,9,"Sant Andreu",63,"Navas","Home","57 anys",133
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","57 anys",220
2015,10,"Sant Martí",65,"el Clot","Home","57 anys",168
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","57 anys",88
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","57 anys",74
2015,10,"Sant Martí",68,"el Poblenou","Home","57 anys",199
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","57 anys",62
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","57 anys",141
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","57 anys",104
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","57 anys",157
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","57 anys",164
2015,1,"Ciutat Vella",1,"el Raval","Home","58 anys",246
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","58 anys",92
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","58 anys",61
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","58 anys",114
2015,2,"Eixample",5,"el Fort Pienc","Home","58 anys",192
