,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
4848,2017S003412    ,Horta-Guinardó,Sant Genís dels Agudells,RABASSADA                                         ,Saturday,April,15,3,Night,3,0,3,2,2.128055,41.428523999999996
5394,2017S003403    ,Eixample,Sant Antoni,Sepúlveda / Casanova                              ,Friday,April,14,17,Afternoon,2,0,2,1,2.162089,41.382894
5607,2017S003407    ,Eixample,la Dreta de l'Eixample,Bailèn / Consell de Cent                          ,Friday,April,14,21,Afternoon,0,0,0,2,2.172031,41.395834
5727,2017S003422    ,Sants-Montjuïc,el Poble-sec,Creu dels Molers / Magalhães                      ,Saturday,April,15,13,Morning,1,0,1,2,2.161254,41.372575
5796,2017S003404    ,Sants-Montjuïc,la Marina de Port,Ildefons Cerdà                                    ,Friday,April,14,21,Afternoon,1,0,1,2,2.136301,41.3649
5872,2017S003447    ,Sants-Montjuïc,Sants,Badalona / Santa Caterina                         ,Monday,April,17,21,Afternoon,1,0,1,1,2.136793,41.378534
5972,2017S003420    ,Les Corts,Pedralbes,Diagonal / Doctor Marañón                         ,Saturday,April,15,14,Afternoon,1,0,1,2,2.1120650000000003,41.38445
6222,2017S003443    ,Horta-Guinardó,la Font d'en Fargues,Pedrell / Marí                                    ,Monday,April,17,18,Afternoon,1,0,1,2,2.1607819999999998,41.423640999999996
6353,2017S003435    ,Sant Andreu,Sant Andreu,Palomar                                           ,Monday,April,17,11,Morning,1,0,1,2,2.1925169999999996,41.442153999999995
6720,2017S003417    ,Eixample,la Nova Esquerra de l'Eixample,Sarrià / Josep Tarradellas                        ,Saturday,April,15,10,Morning,1,0,1,2,2.1436450000000002,41.390505
6916,2017S003406    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Friday,April,14,22,Night,1,0,1,2,2.170008,41.391056
6987,2017S003434    ,Eixample,el Fort Pienc,Lepant                                            ,Sunday,April,16,17,Afternoon,1,0,1,1,2.185469,41.397626
7035,2017S003431    ,Eixample,la Sagrada Família,Marina / Aragó                                    ,Sunday,April,16,13,Morning,1,0,1,1,2.1778299999999997,41.401877
7500,2017S003414    ,Horta-Guinardó,la Font d'en Fargues,Llobregós / Marquès de Foronda                    ,Saturday,April,15,5,Night,1,0,1,2,2.158369,41.425562
7636,2017S003419    ,Nou Barris,Vilapicina i la Torre Llobeta,Vèlia / Escòcia                                   ,Saturday,April,15,13,Morning,2,0,2,2,2.180756,41.428672999999996
7647,2017S003413    ,Nou Barris,Vilapicina i la Torre Llobeta,Cubelles                                          ,Saturday,April,15,4,Night,0,0,0,4,2.175332,41.426704
7733,2017S003390    ,Sant Andreu,el Bon Pastor,B-10 (Llobregat)                                  ,Friday,April,14,5,Night,1,0,1,2,2.2018,41.392004
7930,2017S003446    ,Ciutat Vella,el Barri Gòtic,Litoral (Besòs)                                   ,Monday,April,17,22,Night,1,0,1,2,2.2018,41.392004
7973,2017S003415    ,Ciutat Vella,la Barceloneta,Litoral (Llobregat)                               ,Saturday,April,15,6,Morning,2,0,2,1,2.2018,41.392004
8155,2017S003424    ,Eixample,la Dreta de l'Eixample,Diagonal / Sant Joan                              ,Saturday,April,15,18,Afternoon,1,0,1,2,2.169936,41.399124
8277,2017S003428    ,Eixample,el Fort Pienc,Diagonal / Sardenya                               ,Saturday,April,15,21,Afternoon,2,0,2,2,2.176586,41.400921999999994
8627,2017S003397    ,Sarrià-Sant Gervasi,Sarrià,Augusta / Dolors Monserdà                         ,Friday,April,14,13,Morning,1,0,1,2,2.121467,41.401508
8665,2017S003421    ,Sarrià-Sant Gervasi,les Tres Torres,Ganduxer                                          ,Saturday,April,15,13,Morning,0,0,0,1,2.13078,41.403855
8954,2017S003410    ,Nou Barris,el Turó de la Peira,Teide                                             ,Saturday,April,15,0,Night,0,1,1,3,2.168472,41.430915999999996
9255,2017S003393    ,Ciutat Vella,el Barri Gòtic,Colom / Portal de la Pau                          ,Friday,April,14,11,Morning,1,0,1,1,2.1780209999999998,41.376113000000004
9318,2017S003427    ,Eixample,Sant Antoni,Vilamarí / Sepúlveda                              ,Saturday,April,15,21,Afternoon,1,0,1,1,2.153041,41.376084999999996
9698,2017S003441    ,Sants-Montjuïc,el Poble-sec,Tapioles / Magalhães                              ,Monday,April,17,17,Afternoon,1,0,1,2,2.1637150000000003,41.372062
10139,2017S003411    ,Horta-Guinardó,Horta,Coïmbra / Lloret de Mar                           ,Saturday,April,15,1,Night,0,0,0,1,2.15466,41.433258
10252,2017S003401    ,Nou Barris,Can Peguera,Urrutia                                           ,Friday,April,14,16,Afternoon,2,0,2,1,2.167741,41.435280999999996
93,2017S007503    ,Sant Martí,Provençals del Poblenou,Espronceda / Perú                                 ,Saturday,September,9,15,Afternoon,2,0,2,2,2.198342,41.410089
156,2017S007492    ,Sant Martí,el Parc i la Llacuna del Poblenou,Àlaba / Almogàvers                                ,Saturday,September,9,0,Night,1,0,1,2,2.1915560000000003,41.398216999999995
264,2017S007525    ,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes                                   ,Sunday,September,10,20,Afternoon,1,0,1,2,2.154613,41.379486
456,2017S007496    ,Eixample,la Dreta de l'Eixample,Diagonal                                          ,Saturday,September,9,7,Morning,1,0,1,1,2.167862,41.398368
603,2017S007466    ,Eixample,el Fort Pienc,Tetuan                                            ,Friday,September,8,0,Night,1,0,1,2,2.176439,41.395129
