,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
8344,Sants-Montjuïc,Tuesday,March,7,Morning,1,0,1,2
8345,Sants-Montjuïc,Saturday,November,11,Afternoon,10,0,10,3
8346,Sants-Montjuïc,Monday,August,21,Morning,2,0,2,5
8347,Sants-Montjuïc,Wednesday,December,13,Afternoon,1,0,1,2
8348,Sants-Montjuïc,Friday,November,3,Morning,3,0,3,3
8349,Sants-Montjuïc,Tuesday,May,9,Night,1,0,1,2
8350,Sants-Montjuïc,Sunday,January,8,Afternoon,2,0,2,2
8351,Sants-Montjuïc,Thursday,December,21,Afternoon,1,0,1,2
8352,Sants-Montjuïc,Wednesday,January,11,Afternoon,5,0,5,7
8353,Sants-Montjuïc,Monday,December,18,Afternoon,1,0,1,2
8354,Sants-Montjuïc,Monday,January,9,Afternoon,1,0,1,1
8355,Sants-Montjuïc,Wednesday,March,22,Morning,1,0,1,1
8356,Sants-Montjuïc,Tuesday,May,9,Night,0,0,0,1
8357,Sants-Montjuïc,Monday,February,20,Afternoon,1,0,1,2
8359,Sants-Montjuïc,Friday,January,27,Afternoon,1,0,1,2
8360,Sants-Montjuïc,Tuesday,September,12,Morning,1,0,1,2
8361,Sants-Montjuïc,Tuesday,June,20,Morning,1,0,1,1
8362,Sants-Montjuïc,Wednesday,September,27,Afternoon,2,0,2,2
8363,Sants-Montjuïc,Sunday,July,16,Morning,1,0,1,1
8364,Sants-Montjuïc,Saturday,December,9,Night,2,0,2,2
8365,Sants-Montjuïc,Tuesday,April,18,Night,1,0,1,2
8366,Sants-Montjuïc,Sunday,October,8,Night,0,0,0,1
8367,Sants-Montjuïc,Friday,November,24,Afternoon,4,0,4,4
8368,Sants-Montjuïc,Tuesday,October,3,Night,0,0,0,2
8369,Sants-Montjuïc,Thursday,July,6,Night,0,0,0,2
8370,Sants-Montjuïc,Monday,May,8,Afternoon,1,0,1,2
8371,Sants-Montjuïc,Wednesday,May,31,Morning,2,0,2,3
8372,Sants-Montjuïc,Tuesday,September,19,Afternoon,1,0,1,2
8373,Sants-Montjuïc,Friday,October,13,Morning,1,0,1,1
8374,Sants-Montjuïc,Tuesday,November,28,Morning,1,0,1,1
8375,Sants-Montjuïc,Sunday,April,2,Morning,3,0,3,3
8376,Sants-Montjuïc,Tuesday,July,4,Morning,1,0,1,2
8377,Sants-Montjuïc,Friday,July,21,Afternoon,0,1,1,3
8378,Sants-Montjuïc,Monday,July,24,Afternoon,1,0,1,2
8379,Sants-Montjuïc,Tuesday,May,9,Morning,1,0,1,2
8380,Sants-Montjuïc,Saturday,June,17,Morning,1,0,1,2
8381,Sants-Montjuïc,Friday,November,17,Afternoon,2,0,2,3
8382,Sants-Montjuïc,Wednesday,October,18,Afternoon,1,0,1,2
8383,Sants-Montjuïc,Sunday,February,5,Night,0,0,0,1
