,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
249,Eixample,Saturday,April,15,Afternoon,2,0,2,2
250,Sarrià-Sant Gervasi,Friday,April,14,Morning,1,0,1,2
251,Sarrià-Sant Gervasi,Saturday,April,15,Morning,0,0,0,1
252,Nou Barris,Saturday,April,15,Night,0,1,1,3
253,Ciutat Vella,Friday,April,14,Morning,1,0,1,1
254,Eixample,Saturday,April,15,Afternoon,1,0,1,1
255,Sants-Montjuïc,Monday,April,17,Afternoon,1,0,1,2
256,Horta-Guinardó,Saturday,April,15,Night,0,0,0,1
257,Nou Barris,Friday,April,14,Afternoon,2,0,2,1
258,Sant Martí,Saturday,September,9,Afternoon,2,0,2,2
259,Sant Martí,Saturday,September,9,Night,1,0,1,2
260,Eixample,Sunday,September,10,Afternoon,1,0,1,2
261,Eixample,Saturday,September,9,Morning,1,0,1,1
262,Eixample,Friday,September,8,Night,1,0,1,2
263,Les Corts,Sunday,September,10,Afternoon,3,0,3,2
264,Sant Andreu,Sunday,September,10,Night,1,0,1,2
265,Sant Martí,Friday,September,8,Morning,1,0,1,2
266,Sant Martí,Saturday,September,9,Morning,0,0,0,1
267,Ciutat Vella,Sunday,September,10,Night,1,0,1,1
268,Eixample,Monday,September,11,Afternoon,1,0,1,3
269,Eixample,Sunday,September,10,Night,1,0,1,2
270,Les Corts,Sunday,September,10,Afternoon,2,0,2,2
271,Les Corts,Monday,September,11,Afternoon,0,1,1,2
272,Horta-Guinardó,Saturday,September,9,Afternoon,1,0,1,2
273,Horta-Guinardó,Friday,September,8,Morning,1,0,1,2
274,Nou Barris,Saturday,September,9,Afternoon,3,0,3,2
275,Ciutat Vella,Sunday,September,10,Morning,1,0,1,1
276,Eixample,Friday,September,8,Afternoon,2,0,2,2
277,Les Corts,Friday,September,8,Morning,1,0,1,2
278,Les Corts,Monday,September,11,Afternoon,4,0,4,2
279,Gràcia,Saturday,September,9,Night,1,0,1,2
280,Horta-Guinardó,Saturday,September,9,Morning,1,0,1,2
281,Sant Andreu,Saturday,September,9,Night,1,0,1,2
282,Sant Andreu,Monday,September,11,Afternoon,1,0,1,2
