Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;291;32;12
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;18;10;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;1;;1
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;160;18;16
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;135;8;4
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;110;20;16
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;9;6;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;1;2;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;6;15;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;2;;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat;Amenaces;20;17;3
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat;Coaccions;7;6;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat;Detenció il·legal;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;3;3;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;2;2;1
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra l'Administració de justícia;Trencament de condemna;4;4;2
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra les relacions familiars;Contra els drets i deures familiars;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;5;4;4
1;gener;2020;RP  Metropolitana Nord;ABP Mataró;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;2;2;2
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;De les falsedats;Falsedats documentals;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;De les falsedats;Usurpació de funcions públiques i intrusisme;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;De les lesions;Lesions;22;21;5
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;4;3;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;7;7;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;53;3;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;82;6;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;107;14;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;21;18;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;42;4;6
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;37;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;15;4;1
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;6;6;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;3;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat;Amenaces;12;11;2
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat;Coaccions;4;2;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;2;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra l'Administració de justícia;Trencament de condemna;6;6;3
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;2;2;2
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;4;5;5
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Dels delictes contra la seguretat col·lectiva;Incendi;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Mollet del Vallès;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;De les falsedats;De la usurpació de l'estat civil;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;De les falsedats;Falsedats documentals;2;;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;De les falsedats;Falsificació de moneda i efectes timbrats;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;De les lesions;Lesions;13;11;3
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;3;3;1
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;8;5;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;98;7;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;124;12;1
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;101;11;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;90;7;2
1;gener;2020;RP  Metropolitana Nord;ABP Premià de Mar;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;50;2;1
