nationality,dist,num_immi
Jordan,Sarrià-Sant Gervasi,4
Kazakhstan,Ciutat Vella,15
Kazakhstan,Eixample,29
Kazakhstan,Gràcia,3
Kazakhstan,Horta-Guinardó,6
Kazakhstan,Les Corts,11
Kazakhstan,No consta,0
Kazakhstan,Nou Barris,3
Kazakhstan,Sant Andreu,2
Kazakhstan,Sant Martí,28
Kazakhstan,Sants-Montjuïc,10
Kazakhstan,Sarrià-Sant Gervasi,16
Kenya,Ciutat Vella,1
Kenya,Eixample,6
Kenya,Gràcia,1
Kenya,Horta-Guinardó,2
Kenya,Les Corts,1
Kenya,No consta,0
Kenya,Nou Barris,0
Kenya,Sant Andreu,0
Kenya,Sant Martí,0
Kenya,Sants-Montjuïc,2
Kenya,Sarrià-Sant Gervasi,6
Kuwait,Ciutat Vella,1
Kuwait,Eixample,4
Kuwait,Gràcia,2
Kuwait,Horta-Guinardó,0
Kuwait,Les Corts,1
Kuwait,No consta,0
Kuwait,Nou Barris,0
Kuwait,Sant Andreu,0
Kuwait,Sant Martí,0
Kuwait,Sants-Montjuïc,2
Kuwait,Sarrià-Sant Gervasi,0
Kyrgyzstan,Ciutat Vella,0
Kyrgyzstan,Eixample,1
Kyrgyzstan,Gràcia,1
Kyrgyzstan,Horta-Guinardó,1
Kyrgyzstan,Les Corts,0
Kyrgyzstan,No consta,0
Kyrgyzstan,Nou Barris,0
Kyrgyzstan,Sant Andreu,3
Kyrgyzstan,Sant Martí,1
Kyrgyzstan,Sants-Montjuïc,1
Kyrgyzstan,Sarrià-Sant Gervasi,4
Laos,Ciutat Vella,0
Laos,Eixample,0
Laos,Gràcia,0
Laos,Horta-Guinardó,0
Laos,Les Corts,1
Laos,No consta,0
Laos,Nou Barris,0
Laos,Sant Andreu,0
Laos,Sant Martí,0
Laos,Sants-Montjuïc,0
Laos,Sarrià-Sant Gervasi,0
Latvia,Ciutat Vella,16
Latvia,Eixample,9
Latvia,Gràcia,2
Latvia,Horta-Guinardó,2
Latvia,Les Corts,2
Latvia,No consta,0
Latvia,Nou Barris,7
Latvia,Sant Andreu,2
Latvia,Sant Martí,14
Latvia,Sants-Montjuïc,3
Latvia,Sarrià-Sant Gervasi,3
Lebanon,Ciutat Vella,30
Lebanon,Eixample,48
Lebanon,Gràcia,13
Lebanon,Horta-Guinardó,10
Lebanon,Les Corts,2
Lebanon,No consta,0
Lebanon,Nou Barris,2
Lebanon,Sant Andreu,0
Lebanon,Sant Martí,13
Lebanon,Sants-Montjuïc,9
Lebanon,Sarrià-Sant Gervasi,18
Libya,Ciutat Vella,2
Libya,Eixample,6
Libya,Gràcia,2
Libya,Horta-Guinardó,4
Libya,Les Corts,0
